Extension Number,Name,Publisher,Extension ID,Source Code,Downloads,ok,critical,high,medium,low,total vul,vulnerabilities
1,Python,Microsoft,f1f59ae4-9318-4f3c-a9b5-81b2eaa5f8a5,https://github.com/Microsoft/vscode-python.git,99667865,True,0,0,0,0,0,
2,Pylance,Microsoft,364d2426-116a-433a-a5d8-a5098dc3afbd,https://github.com/microsoft/pylance-release.git,72050713,False,0,0,0,0,0,
3,Jupyter,Microsoft,6c2f1801-1e7f-45b2-9b5c-7782f1e076e8,https://github.com/Microsoft/vscode-jupyter.git,70969565,False,0,0,1,0,1,Regular Expression Denial of Service (ReDoS)
4,C/C++,Microsoft,690b692e-e8a9-493f-b802-8089d50ac1b2,https://github.com/Microsoft/vscode-cpptools.git,53663422,False,0,0,0,0,0,
5,Jupyter Keymap,Microsoft,9f6dc8db-620c-4844-b8c5-e74914f1be27,https://github.com/Microsoft/vscode-jupyter-keymap.git,52755963,True,0,0,0,0,0,
6,Jupyter Notebook Renderers,Microsoft,b15c72f8-d5fe-421a-a4f7-27ed9f6addbf,https://github.com/Microsoft/vscode-notebook-renderers.git,51464278,True,0,0,0,0,0,
7,Live Server,Ritwick Dey,b63c44fd-0457-4696-99e9-dbfdf70d77de,https://github.com/ritwickdey/vscode-live-server.git,40075111,False,0,2,1,0,3,Open Redirect; Denial of Service (DoS); Denial of Service (DoS)
8,Prettier - Code formatter,Prettier,96fa4707-6983-4489-b7c5-d5ffdfdcce90,https://github.com/prettier/prettier-vscode.git,37125065,True,0,0,0,0,0,
9,IntelliCode,Microsoft,876e8f93-74d0-4f4f-91b7-34a09f19f444,https://github.com/MicrosoftDocs/intellicode.git,34529076,False,0,0,0,0,0,
10,Jupyter Cell Tags,Microsoft,ab4fb32a-befb-4102-adf9-1652d0cd6a5e,https://github.com/Microsoft/vscode-jupyter-cell-tags.git,32667839,True,0,0,0,0,0,
11,Jupyter Slide Show,Microsoft,e153ca70-b543-4865-b4c5-b31d34185948,https://github.com/Microsoft/vscode-jupyter-slideshow.git,32622390,True,0,0,0,0,0,
12,ESLint,Microsoft,583b2b34-2c1e-4634-8c0b-0b82e283ea3a,https://github.com/Microsoft/vscode-eslint.git,30025368,True,0,0,0,0,0,
13,Language Support for Java(TM) by Red Hat,Red Hat,198a707e-28af-4e84-8610-6e2f628dd12d,https://github.com/redhat-developer/vscode-java.git,28477930,True,0,0,0,0,0,
14,Docker,Microsoft,0479fc1c-3d67-49f9-b087-fb9069afe48f,https://github.com/microsoft/vscode-docker.git,27633226,True,0,0,0,0,0,
15,Chinese (Simplified) (简体中文) Language Pack for Visual Studio Code,Microsoft,e4ee7751-6514-4731-9cdb-7580ffa9e70b,https://github.com/Microsoft/vscode-loc.git,26512207,False,0,0,0,0,0,
16,GitLens — Git supercharged,GitKraken,4de763bd-505d-4978-9575-2b7696ecf94e,https://github.com/gitkraken/vscode-gitlens.git,26501333,True,0,0,0,0,0,
17,Debugger for Java,Microsoft,61fcd0cf-64d7-4836-8d6b-d55f4fb83281,https://github.com/Microsoft/vscode-java-debug.git,25795026,True,0,0,0,0,0,
18,CMake,twxs,2be7cf14-2603-402e-9771-fd79df83cdf8,https://github.com/twxs/vs.language.cmake.git,24516129,True,0,0,0,0,0,
19,CMake Tools,Microsoft,7c889349-8749-43d4-8b5e-08939936d7f4,https://github.com/microsoft/vscode-cmake-tools.git,24466404,False,0,0,1,0,1,Prototype Pollution
20,C#,Microsoft,d0bfc4ab-1d3a-4487-8782-7cf6027b4fff,https://github.com/dotnet/vscode-csharp.git,23979603,True,0,0,0,0,0,
21,Maven for Java,Microsoft,b0f06c6b-24fb-4d7b-bd79-bc5e2fa17312,https://github.com/Microsoft/vscode-maven.git,23917178,True,0,0,0,0,0,
22,Test Runner for Java,Microsoft,67c06b0d-1891-42ca-b2a8-113e79bff069,https://github.com/Microsoft/vscode-java-test.git,22848527,True,0,0,0,0,0,
23,Project Manager for Java,Microsoft,7865e561-1c83-410e-9b99-aabada597a7e,https://github.com/Microsoft/vscode-java-dependency.git,22715901,True,0,0,0,0,0,
24,C/C++ Themes,Microsoft,99b17261-8f6e-45f0-9ad5-a69c6f509a4f,https://github.com/Microsoft/vscode-cpptools.git,22611635,False,0,0,0,0,0,
25,Extension Pack for Java,Microsoft,96f11e1f-1a46-4592-b084-f025b2c2a81f,https://github.com/Microsoft/vscode-java-pack.git,22320851,True,0,0,0,0,0,
26,WSL,Microsoft,f0c5397b-d357-4197-99f0-cb4202f22818,https://github.com/Microsoft/vscode-remote-release.git,22226497,False,0,0,0,0,0,
27,Code Runner,Jun Han,a6a0c5b2-d078-4bf5-a9ee-4e37054414b3,https://github.com/formulahendry/vscode-code-runner.git,22176124,True,0,0,0,0,0,
28,C/C++ Extension Pack,Microsoft,3957b2f6-f086-49b5-a7b4-5da772123130,https://github.com/microsoft/vscode-cpptools.git,21219358,False,0,0,0,0,0,
29,isort,Microsoft,4ad0ce32-ff3f-49f0-83b5-93e5dc00cfff,https://github.com/microsoft/vscode-isort.git,20649143,True,0,0,0,0,0,
30,Dev Containers,Microsoft,93ce222b-5f6f-49b7-9ab1-a0463c6238df,https://github.com/Microsoft/vscode-remote-release.git,20515935,False,0,0,0,0,0,
31,Material Icon Theme,Philipp Kief,5db78037-f674-459f-a236-db622c427c5b,https://github.com/PKief/vscode-material-icon-theme.git,20038133,True,0,0,0,0,0,
32,IntelliCode API Usage Examples,Microsoft,9fa2a00e-3bfa-4c2a-abc4-a865bb2b5cf3,https://github.com/MicrosoftDocs/intellicode.git,18183071,False,0,0,0,0,0,
